outcome,matFit,matLow,matHigh,edf,lag
Anxiety,0.21536464594952429,-0.7006113607557911,1.1313406526548397,13.918206952370246,0
Anxiety,0.2067125977808184,-0.6201759487263286,1.0336011442879656,13.918206952370246,1
Anxiety,0.19831433184361688,-0.5566525240670033,0.9532811877542371,13.918206952370246,2
Anxiety,0.19027615060403907,-0.5097577767210193,0.8903100779290973,13.918206952370246,3
Anxiety,0.18297762455511532,-0.47783245978761746,0.8437877088978482,13.918206952370246,4
Anxiety,0.17633970163169196,-0.4585776922959307,0.8112570955593147,13.918206952370246,5
Anxiety,0.16956329185348937,-0.44982357929355676,0.7889501630005356,13.918206952370246,6
Anxiety,0.16148164910653423,-0.44952299295823933,0.7724862911713077,13.918206952370246,7
Anxiety,0.15153410681820614,-0.4553173978558729,0.7583856114922851,13.918206952370246,8
Anxiety,0.1399682129116175,-0.46465809739841923,0.7445945232216543,13.918206952370246,9
Anxiety,0.12674125636828906,-0.4759489010450918,0.7294314137816699,13.918206952370246,10
Anxiety,0.1116812618554382,-0.48846456836221747,0.7118270920730938,13.918206952370246,11
Anxiety,0.09354992400820056,-0.5030295380121586,0.6901293860285596,13.918206952370246,12
Anxiety,0.07064756155634619,-0.5212194527019948,0.6625145758146872,13.918206952370246,13
Anxiety,0.04211153211608798,-0.5438785118889826,0.6281015761211586,13.918206952370246,14
Anxiety,0.008360731142886463,-0.5707016868028179,0.5874231490885908,13.918206952370246,15
Anxiety,-0.028981505227390264,-0.6004621770245806,0.5424991665698,13.918206952370246,16
Anxiety,-0.06866592783809937,-0.632555957531935,0.49522410185573634,13.918206952370246,17
Anxiety,-0.11021822409663257,-0.6672364899850984,0.44680004179183336,13.918206952370246,18
Anxiety,-0.15345504599030507,-0.7049127573680349,0.39800266538742474,13.918206952370246,19
Anxiety,-0.19807196156366735,-0.745623018994032,0.34947909586669734,13.918206952370246,20
Anxiety,-0.24308411557373596,-0.7885420456282155,0.3023738144807435,13.918206952370246,21
Anxiety,-0.2867710159482577,-0.8320671174622924,0.258525085565777,13.918206952370246,22
Anxiety,-0.327596291170027,-0.8747244052457713,0.21953182290571738,13.918206952370246,23
Anxiety,-0.3646092103023963,-0.9155159572312972,0.18629753662650467,13.918206952370246,24
Anxiety,-0.3972650135105065,-0.953726230703098,0.15919620368208504,13.918206952370246,25
Anxiety,-0.4246982132153129,-0.9881891634053526,0.13879273697472666,13.918206952370246,26
Anxiety,-0.44589304922404943,-1.0174671183761268,0.125681019928028,13.918206952370246,27
Anxiety,-0.45952642620701484,-1.0397116497576948,0.12065879734366508,13.918206952370246,28
Anxiety,-0.4646433597122579,-1.0534596966775478,0.12417297725303189,13.918206952370246,29
Anxiety,-0.46089576216730005,-1.057820959704046,0.13602943536944584,13.918206952370246,30
Anxiety,-0.44868900586413363,-1.0525989929511042,0.155220981222837,13.918206952370246,31
Anxiety,-0.4286053300522994,-1.0377559338759876,0.18054527377138885,13.918206952370246,32
Anxiety,-0.401314024808751,-1.0134494719798453,0.21082142236234325,13.918206952370246,33
Anxiety,-0.3674486547964425,-0.9800077801024857,0.24511047050960066,13.918206952370246,34
Anxiety,-0.3275645579844022,-0.9378994066203569,0.28277029065155246,13.918206952370246,35
Anxiety,-0.2821075183025244,-0.8876890479399622,0.3234740113349133,13.918206952370246,36
